Flavor,Hint 1,Hint 2,Hint 3,Description
Strawberry Nog Cuvée,Strawberries and Cream,Vanilla Eggnog,winter/kitchen,"Ripe strawberries folded into whipped cream meet the cozy richness of vanilla-spiced eggnog in this decadent seasonal blend. Strawberry Nog Cuvée captures the joy of winter dessert pairings and candlelit indulgence, creamy, fruity, and warmly nostalgic."
Citrus Veranda,Lemon Verbana,Citrus Agave,citrus/spring/ summer,"Zesty lemon verbena and golden citrus agave rise with the afternoon sun in this fresh, uplifting blend. Citrus Veranda captures the essence of a breezy vineyard patio, bright, clean, and perfect for sunlit sips and summer gatherings."
Coastal Reserve No. 5,Lavender Driftwood,High Tide,spring/summer/ beach,"Ocean air and salty tide meet the soft earthiness of sun-bleached driftwood and lavender fields. Coastal Reserve No. 5 evokes the stillness of a windswept vineyard by the sea, fresh, calming, and quietly refined."
Blushed Nectar Cuvée,Love Spell,Peach Nectar,floral/summer,"Lush peach nectar and floral-fruit sweetness swirl together in this playful and romantic blend. Blushed Nectar Cuvée captures the essence of sunlit vineyard strolls and sparkling pours shared under soft summer skies, sweet, radiant, and irresistibly charming."
Crimson Vintage & Crème,Black Cherry Merlot,Almond Macaron,holiday/fall/kitchen,"Bold black cherry merlot swirls with the sweetness of sun-dried vineyards, layered with the decadent warmth of freshly baked almond macaroons. This luxurious blend evokes the rich aroma of a late-evening wine tasting paired with artisan desserts in a candlelit cellar."
Bourbon Butter Cuvée,Butterscotch and Bourbon,Snickerdoodle,Kitchen scents/fall/ dessert,"Caramelized butterscotch and cinnamon-dusted snickerdoodle melt into aged bourbon and vanilla oak in this rich, gourmand blend. Bourbon Butter Cuvée evokes the feeling of a fireside dessert pairing in a candlelit cellar, sweet, spiced, and deliciously smooth."
Midnight Oak Reserve,Moonflower Nectar,White Oak and Vanilla,summer,"Lush moonflower nectar weaves through creamy vanilla and aged white oak in this elegant, after-dark blend. Midnight Oak Reserve evokes the scent of candlelit tastings beneath the stars, floral, grounded, and enchantingly smooth."
Citrus Crème Cuvée,Grapefruit and Mangosteen,Very Vanilla,summer/kitchen,"Juicy grapefruit and tropical mangosteen sparkle against a base of velvety vanilla in this bright, refreshing blend. Citrus Crème Cuvée evokes the warmth of summer tastings on the terrace, zesty, smooth, and sun-drenched."
Rosé Amaretto Reserve,Bohemian Rose,Almond Macaron,spring/summer/ floral,"Delicate Bohemian rose petals swirl with sweet almond cream in this soft, romantic blend. Rosé Amaretto Reserve evokes vineyard brunches and sunset pours shared over rose gardens and confections, floral, smooth, and effortlessly luxurious."
Juniper Oak Reserve,Cedarwood Blanc,Dry Gin and Cypress,Masculine/fall,"Crisp gin botanicals and evergreen cypress blend into soft cedarwood and aged oak in this modern, aromatic pour. Juniper Oak Reserve evokes the stillness of a forested tasting room, clean, woody, and quietly bold."
Citrus Verde Cuvée,Pineapple Sage,Coconut Lime,spring/summer/ tropical,"Zesty lime and creamy coconut swirl with vibrant pineapple sage in this fresh, tropical blend. Citrus Verde Cuvée evokes breezy vineyard tastings on sunlit terraces, crisp, green, and citrus-kissed."
Sage & Sol Cuvée,Bamboo and Cocount,Pineapple Sage,summer/tropical,"Herbaceous pineapple sage and creamy coconut meet airy bamboo in this sun-kissed, tropical blend. Sage & Sol Cuvée captures the essence of a breezy vineyard retreat, bright, green, and effortlessly serene."
Wassail Grove Reserve,Cypress and Bayberry,Wassail,Holiday/winter,"Spiced cider and citrus peel simmer alongside woodland cypress and rich bayberry in this festive, fireside blend. Wassail Grove Reserve evokes the scent of winter vineyards and candlelit gatherings, green, bright, and warmly inviting."
Spiced Apple Press,Cinnamon Stick,Macintosh Apple,Fall/kitchen,"Crisp Macintosh apples are steeped in warm cinnamon bark, capturing the scent of hand-pressed cider and cozy vineyard gatherings. Spiced Apple Press brings orchard charm and wine country comfort to every flicker."
Cashmere Oak Reserve,Moroccan Cashmere,white oak and vanilla,spring/summer/ masculine,"Creamy vanilla and Moroccan cashmere melt into aged white oak in this soothing, luxurious blend. Cashmere Oak Reserve evokes the stillness of a twilight tasting, smooth, warm, and softly enveloping, like the last pour of the evening in a candlelit cellar."
Crème d’Agrume Reserve,Very Vanilla,blood orange,spring/summer/ citrus,"Lively blood orange and creamy vanilla blend into a smooth, sun-drenched pour. Crème d’Agrume Reserve evokes vineyard brunches, citrus groves, and soft linen-covered tables kissed by light, vibrant, indulgent, and effortlessly refined."
Golden Harvest Reserve,Brandied Pear,Strudel and Spice,kitchen/fall,"Caramelized pear laced with warm brandy and wrapped in flaky spice-kissed pastry, this indulgent blend captures the heart of a holiday dessert pairing. Poire Épicée Reserve evokes the scent of a fireside tasting room, where golden fruit and sweet spice fill the air with warmth and celebration."
Coastal Santal Reserve,Sea Salt and Orchid,Santal and Coconut,summer/beach,"Soft orchid petals and sea breeze meet warm santal and creamy coconut in this serene, sun-washed blend. Coastal Santal Reserve evokes the feeling of a shoreline vineyard retreat, airy, indulgent, and elegantly coastal."
Crimson Crème Reserve,Cherry Eclipse,Vanilla Eggnog,holiday/winter/ kitchen,"Dark cherry and creamy vanilla eggnog swirl into a rich, festive blend kissed with holiday spice. Crimson Crème Reserve evokes candlelit tastings and after-dinner pours, bold, smooth, and decadently seasonal."
Orangewood Estate,Orange Pomander,Sage and Cypress,Winter/citrus,"Spiced orange pomander and woodland greens blend in a citrus-wrapped forest breeze. Pomander Grove Reserve evokes the scent of a winter vineyard, where citrus trees meet evergreen trails and festive warmth fills the tasting room air, bright, herbal, and seasonally timeless."
Velvet Fig Reserve,Cashmere Plum,Black Cherry Merlot,spring/all year round/dessert,"Lush fig tree fruit swirls with the velvety essence of ripe plum and a whisper of cashmere in this decadent blend. Inspired by hillside orchards, sun-drenched terraces, and slow pours of rich dessert wine, Velvet Fig Reserve captures the essence of indulgence in every flicker."
Sunwashed Sangria,Lychee Blush,Sunwashed,spring/summer/ beach,"Juicy lychee and sun-kissed linen drift on a breeze of coastal California air in this radiant blend. Lychee Soleil Reserve captures the feeling of golden hour at the vineyard, delicate, bright, and softly floral, like sipping a sparkling white under swaying trellises and a warm summer sky."
Vintner's Grove,Lemongrass and Verbena Citronella,Lavender Driftwood,beach/spring/ summer,"This name evokes a tranquil part of the vineyard estate, where citrus trees and lavender fields meet sunlit decks and ocean breeze. It balances the zesty brightness of lemongrass and citronella with the soothing earthiness of lavender and driftwood. Perfect for an alfresco wine tasting at golden hour."
Cacao Amaretto Reserve,Chocolate Fudge,Amaretto Madeleine,kitchen/fall/dessert,"Dark chocolate fudge and sweet almond liqueur swirl into a rich, velvety blend inspired by dessert wine pairings. Cacao Amaretto Reserve evokes the scent of candlelit tastings, chocolate flights, and indulgent moments by the hearth, decadent, smooth, and irresistibly crafted."
Santal Blanc Reserve,Sandalwood,Santal and Coconut,masculine/beach/ summer,"Creamy coconut and sunlit sandalwood blend into warm santal and soft white woods in this smooth, coastal-inspired fragrance. Santal Blanc Reserve evokes the stillness of a golden afternoon in a hillside tasting room, woody, serene, and effortlessly refined."
Island Blush Reserve,Toasted Coconut,Strawberry Guava,kitchen/spring/ summer/tropical,"Sun-toasted coconut and sweet strawberry guava melt into this lush, tropical blend. Island Blush Reserve evokes the spirit of a warm afternoon tasting flight by the sea, fruity, creamy, and kissed with coastal sunshine."
Floral Oak No. 9,Bohemian rose,Sandalwood,floral/summer/ beach,"Bohemian rose petals and soft sandalwood blend into a timeless, grounded floral. Rosewood Reserve evokes the scent of vineyard gardens at dusk, warm, romantic, and effortlessly elegant."
Lemon Grove No. 6,Citrus Agave,lemon lime,citrus/summer/ spring,"A sparkling blend of lemon-lime citrus and sweet agave nectar, Cuvée Zesté captures the scent of sunshine in a glass. Bright, clean, and endlessly refreshing, it evokes vineyard spritzers and warm tastings beneath citrus trees."
Sunlit Vines,Grapefruit and Mangosteen,Honeysuckle,citrus/summer/ spring,"Bursts of ruby grapefruit and tropical mangosteen swirl with golden honeysuckle in this bright, aromatic blend. Petal & Pulp Cuvée evokes the scent of a sun-drenched tasting garden, crisp, lush, and full of bloom-season magic."
Peach Rosé Glacé,Pink Sugar Crystals,Peach Nectar,citrus/summer/ spring,"Juicy peach nectar and sugared crystals swirl together in this fruity, sparkling blend. Peach Rosé Glacé evokes vineyard picnics and pink pours under golden skies, sweet, flirty, and chilled to perfection."
Barrel Smoke and Santal,Sweet Tobacco,Golden Santal,masculine/summer/ fall,"Warm golden santal and sweet tobacco leaf swirl together in a luxurious blend of smoky sophistication. Barrel Smoke & Santal conjures vineyard bonfires, aged oak casks, and the hush of twilight tastings, bold, intimate, and irresistibly smooth"
Winter Pour No. 6,cinnamon chai,Very Vanilla,winter/kitchen,"Aromatic cinnamon chai meets silky vanilla in this rich, comforting blend. Chai Crème Reserve evokes the warmth of a fireside tasting room, smooth, spiced, and softly sweet, like a winter pour shared at golden hour."
Crimson Frost Reserve,cranberry woods,Woodland Snow,winter/holiday,"Tart cranberry and evergreen woods meet the crisp stillness of a snow-covered forest. Crimson Frost Reserve evokes the scent of frosted vineyards at dusk, cool, bright, and lightly spiced with winter air."
Pumpkin Whip & Crust,pumpkin spice buttercream,Pumpkin Pie,Kitchen/fall/winter/ dessert,"A swirl of sweet pumpkin spice buttercream whipped over warm, golden pie crust, this decadent blend captures the heart of fall baking days and candlelit kitchen tables. Pumpkin Whip & Crust is your ultimate comfort scent, sugar-dusted and spice-kissed"
Amaretto Chai Reserve,forest chai,Amaretto Madeleine,Dessert/winter/ masculine,"Spiced forest chai steeps into warm almond liqueur and soft-baked madeleines in this indulgent winter blend. Amaretto Chai Reserve evokes the scent of alpine tasting rooms and candlelit dessert pairings, nutty, spiced, and perfectly steeped in comfort."
Tobacco Crème Reserve,sweet tobacco,Almond Macaroon,Dessert/winter/fall/ masculine,"Sweet tobacco leaves and warm almond crème swirl into a decadent blend of smoky softness and patisserie charm. Tobacco Crème Reserve evokes the mood of a fireside dessert pairing in a candlelit tasting room, rich, smooth, and seductively layered"
Rosé Sucré,Pink Sugar Crystals,,All year/spring,"Sparkling pink sugar crystals melt into soft floral sweetness in this playful yet elegant blend. Rosé Sucré captures the effervescent spirit of a late afternoon wine spritz, sweet, sunny, and blissfully indulgent."
Citrus Veraison,Bergamot,,citrus/spring/ summer,"The crisp elegance of Italian bergamot bursts forward with vibrant citrus energy, softened by subtle herbaceous undertones. Citrus Veraison evokes the golden glow of ripening vines and the anticipation of harvest, bright, refined, and refreshingly layered."
Cask & Citrus,Sandalwood,Bergamot,citrus/beach/ summer/spring,"Bright bergamot zest opens the senses, unfolding into the rich warmth of aged sandalwood. Cask & Citrus captures the spirit of sunlit vineyards and oak barrel cellars, crisp, clean, and endlessly inviting."
